,No,구분,Question,Numbers,Equation,Answer,group_nums,Grade,Type,Body,Ques_Statement
239,1,train,정국이는 number0 개 아이스바를 가지고 있습니다. 지민이는 number1 개 아이스바가 있습니다. 아이스바는 총 몇개인가요?,63 50,+ number0 number1,113.0,"[1, 2, 3, 4, 7, 8, 9, 10, 17, 18, 19]",2,Addition,gino has number0 popsicle sticks . i have number1 popsicle sticks .,what is the sum of our popsicle sticks ?
240,2,train,"호석이는 아침에 해변에서 number0 개의 조개를, 오후에 number1 개의 조개를 주웠습니다. 그가 총 몇 개의 조개를 집었습니까?",292 324,+ number0 number1,616.0,"[1, 2, 3, 4, 5, 11, 12, 13, 24, 25, 26]",2,Addition,lino picked up number0 shells at the seashore in the morning and number1 shells in the afternoon .,how many shells did he pick up in all ?
241,3,train,프로그램에서 number0 명의 부모와 number1 명의 학생이 참석했다. 프로그램에 몇 명이 참석 했습니까?,105 698,+ number0 number1,803.0,"[1, 2, 3, 7, 8, 9, 17, 18, 19]",2,Addition,there were number0 parents in the program and number1 pupils too .,how many people were present in the program ?
242,4,train,지난 토요일 은지는 number0 장의 잡지와 number1 장의 신문을 팔았습니다. 그녀가 판매 한 읽기 자료의 총 수는 얼마입니까?,425 275,+ number0 number1,700.0,"[3, 4, 5, 6, 7, 8, 17, 18, 19]",2,Addition,last saturday marie sold number0 magazines and number1 newspapers .,what is the total number of reading materials she sold ?
243,5,train,울타리에 number0 마리의 새가 있습니다. 더 많은 number1 마리의 새들이 울타리에 착륙합니다. 얼마나 많은 새가 울타리에 있습니까?,12 8,+ number0 number1,20.0,"[1, 2, 3, 6, 8, 9, 10, 20, 21, 22]",2,Addition,there are number0 birds on the fence . number1 more birds land on the fence .,how many birds are on the fence ?
244,6,train,number0 명의 소년은 슬라이드 아래로 갔다. number1 명의 소년이 슬라이드를 더 내려 갔다. 슬라이드 아래로 내려간 소년은 몇 명입니까?,22 13,+ number0 number1,35.0,"[0, 1, 7, 8, 9, 10, 19, 20, 21]",2,Addition,number0 boys went down the slide . number1 more boys went down the slide .,how many boys went down the slide ?
245,7,train,number0 마리의 오리가 호수에서 수영하고 있습니다. number1 마리의 더 많은 오리가 그들과 합류하기 위해 온다. 얼마나 많은 오리가 호수에서 수영하고 있습니까?,13 20,+ number0 number1,33.0,"[0, 1, 3, 4, 8, 9, 10, 21, 22, 23]",2,Addition,number0 ducks are swimming in a lake . number1 more ducks come to join them .,how many ducks are swimming in the lake ?
246,8,train,number0 마리의 개가 짖고 있습니다. number1 마리의 더 많은 개들이 짖기 시작합니다. 얼마나 많은 개가 짖고 있습니까?,30 10,+ number0 number1,40.0,"[0, 1, 3, 4, 5, 6, 14, 15, 16]",2,Addition,number0 dogs are barking . number1 more dogs start to bark .,how many dogs are barking ?
247,9,train,석진이는 사탕을 number0 개 먹었습니다. 그런 다음 그는 number1 개 더 먹었습니다. 석진이가 사탕을 몇 개 먹었나요?,26 17,+ number0 number1,43.0,"[1, 2, 3, 7, 9, 10, 11, 18, 19, 20]",2,Addition,bobby ate number0 pieces of candy . then he ate number1 more .,how many pieces of candy did bobby eat ?
248,10,train,은지는 number0 마리의 애완 동물 물고기를 가졌습니다. 그녀는 물고기를 number1 마리의 더 샀다. 은지는 지금 얼마나 많은 애완용 물고기를 가지고 있습니까?,26 6,+ number0 number1,32.0,"[1, 2, 3, 4, 6, 7, 8, 9, 10, 17, 18, 19]",2,Addition,sandy had number0 pet fish . she bought number1 more fish .,how many pet fish does sandy have now ?
249,11,train,광대가 number0 개의 풍선을 불었다. 그런 다음 그는 number1 풍선을 더 불었다. 광대는 지금 몇 개의 풍선을 가지고 있습니까?,47 13,+ number0 number1,60.0,"[1, 2, 3, 4, 5, 6, 10, 11, 12, 13, 20, 21, 22]",2,Addition,the clown blew up number0 balloons . then he blew up number1 more balloons .,how many balloons does the clown have now ?
